code,name,area,age,email,role
202001150,Ximena Cañas Valentín,Ingeniería Química,34,xcanas@utec.edu.pe,Asistente
202201182,Amada Ileana Castrillo Catalá,Ingeniería Química,32,acastrillo@utec.edu.pe,Asistente
201820218,Selena Carmina Toro Fábregas,Ingeniería Química,23,selena.toro@utec.edu.pe,Alumno
201720209,Nerea Río Beltrán,Ingeniería Química,23,nerea.rio@utec.edu.pe,Alumno
201820215,Vicente Caparrós Tovar,Ingeniería Química,30,vicente.caparros@utec.edu.pe,Alumno
201810249,Diana Asensio Huguet,Ingeniería Química,25,diana.asensio@utec.edu.pe,Alumno
201820216,Eli Tirado Nebot,Ingeniería Química,25,eli.tirado@utec.edu.pe,Alumno
201720244,Ani Nogués Ávila,Ingeniería Química,23,ani.nogues@utec.edu.pe,Alumno
201910232,Adrián Navas Serra,Ingeniería Química,30,adrian.navas@utec.edu.pe,Alumno
201820224,Miriam Olivares Mosquera,Ingeniería Química,24,miriam.olivares@utec.edu.pe,Alumno
201810236,Cleto Marco Elorza Belda,Ingeniería Química,22,cleto.elorza@utec.edu.pe,Alumno
201820207,Fortunato Amo Alemany,Ingeniería Química,28,fortunato.amo@utec.edu.pe,Alumno
201720211,Vera Yaiza Gallardo Cantero,Ingeniería Química,26,vera.gallardo@utec.edu.pe,Alumno
201720230,Amalia Rosales Antón,Ingeniería Química,22,amalia.rosales@utec.edu.pe,Alumno
201720212,Ruben Severino Cal Redondo,Ingeniería Química,29,ruben.cal@utec.edu.pe,Alumno
201810226,Guiomar Gras Pérez,Ingeniería Química,27,guiomar.gras@utec.edu.pe,Alumno
201820229,Toni Riera Haro,Ingeniería Química,25,toni.riera@utec.edu.pe,Alumno
201720220,Álvaro Luján Daza,Ingeniería Química,22,alvaro.lujan@utec.edu.pe,Alumno
201710202,Cintia Borja Belda,Ingeniería Química,29,cintia.borja@utec.edu.pe,Alumno
201820233,Cristian Guillén Folch,Ingeniería Química,23,cristian.guillen@utec.edu.pe,Alumno
201920225,Delfina Bejarano Muñoz,Ingeniería Química,21,delfina.bejarano@utec.edu.pe,Alumno
201920238,Florencia Parra Tovar,Ingeniería Química,25,florencia.parra@utec.edu.pe,Alumno
201810203,Eloísa Carballo Nebot,Ingeniería Química,28,eloisa.carballo@utec.edu.pe,Alumno
201920237,Carla Cadenas Pla,Ingeniería Química,27,carla.cadenas@utec.edu.pe,Alumno
201920242,Diana Macías Villalba,Ingeniería Química,30,diana.macias@utec.edu.pe,Alumno
201710241,Yéssica Sevillano Uría,Ingeniería Química,22,yessica.sevillano@utec.edu.pe,Alumno
201820235,Nazaret Vera Martínez,Ingeniería Química,21,nazaret.vera@utec.edu.pe,Alumno
201910243,Armando Yáñez Huguet,Ingeniería Química,30,armando.yanez@utec.edu.pe,Alumno
201720245,Amalia María Teresa Guerra Cabeza,Ingeniería Química,27,amalia.guerra@utec.edu.pe,Alumno
201910204,Haroldo Bayona Malo,Ingeniería Química,27,haroldo.bayona@utec.edu.pe,Alumno
201810227,Sandra Roman Mateo,Ingeniería Química,30,sandra.roman@utec.edu.pe,Alumno
201910206,Carlos Domínguez Cervantes,Ingeniería Química,30,carlos.dominguez@utec.edu.pe,Alumno
201910231,Brígida Ayala Blazquez,Ingeniería Química,26,brigida.ayala@utec.edu.pe,Alumno
201720208,Eduardo Barragán Iñiguez,Ingeniería Química,25,eduardo.barragan@utec.edu.pe,Alumno
201920200,Dionisio Arturo Llanos Lumbreras,Ingeniería Química,23,dionisio.llanos@utec.edu.pe,Alumno
201910240,Severino Mate Osorio,Ingeniería Química,22,severino.mate@utec.edu.pe,Alumno
201910222,Heriberto Pereira Granados,Ingeniería Química,23,heriberto.pereira@utec.edu.pe,Alumno
201710205,Ámbar Mancebo Porras,Ingeniería Química,30,ambar.mancebo@utec.edu.pe,Alumno
201710247,Emiliana Coll Coello,Ingeniería Química,27,emiliana.coll@utec.edu.pe,Alumno
201720246,Delia Iniesta Fonseca,Ingeniería Química,23,delia.iniesta@utec.edu.pe,Alumno
201820248,Álvaro Bas Ripoll,Ingeniería Química,25,alvaro.bas@utec.edu.pe,Alumno
201720219,Juan Carlos Bravo Briones,Ingeniería Química,30,juan.bravo@utec.edu.pe,Alumno
201820213,Leandro Rebollo Luján,Ingeniería Química,22,leandro.rebollo@utec.edu.pe,Alumno
201810221,Leonardo Moll Lozano,Ingeniería Química,28,leonardo.moll@utec.edu.pe,Alumno
201910228,Jesusa Noguera Galiano,Ingeniería Química,25,jesusa.noguera@utec.edu.pe,Alumno
201820282,Bautista Bas Alvarado,Ingeniería Química,26,bautista.bas@utec.edu.pe,Alumno
201910276,Lucas Enríquez Vergara,Ingeniería Química,25,lucas.enriquez@utec.edu.pe,Alumno
201920294,Azucena Márquez Carretero,Ingeniería Química,23,azucena.marquez@utec.edu.pe,Alumno
201810260,Griselda Torrents Ortiz,Ingeniería Química,25,griselda.torrents@utec.edu.pe,Alumno
201910295,Reinaldo Villalobos Leiva,Ingeniería Química,27,reinaldo.villalobos@utec.edu.pe,Alumno
201820298,Trini Valero Quintero,Ingeniería Química,22,trini.valero@utec.edu.pe,Alumno
201920283,Eleuterio Nacio Santamaría Llorente,Ingeniería Química,27,eleuterio.santamaria@utec.edu.pe,Alumno
201920252,Juan Francisco Dueñas Mármol,Ingeniería Química,27,juan.duenas@utec.edu.pe,Alumno
201820287,Felicidad Montaña Barranco,Ingeniería Química,26,felicidad.montana@utec.edu.pe,Alumno
201910290,Sebastián Suarez Sarabia,Ingeniería Química,23,sebastian.suarez@utec.edu.pe,Alumno
201820253,Balduino Franch Morera,Ingeniería Química,24,balduino.franch@utec.edu.pe,Alumno
201920251,Edmundo Valentín Millán Escrivá,Ingeniería Química,27,edmundo.millan@utec.edu.pe,Alumno
201810296,Luciano Perez Bermudez,Ingeniería Química,26,luciano.perez@utec.edu.pe,Alumno
201910292,Eloísa Palomares Ayala,Ingeniería Química,26,eloisa.palomares@utec.edu.pe,Alumno
201820257,Benito Cuesta Silva,Ingeniería Química,24,benito.cuesta@utec.edu.pe,Alumno
201910277,Carla Cabezas Sureda,Ingeniería Química,27,carla.cabezas@utec.edu.pe,Alumno
201920270,Jose Luis Farré Baró,Ingeniería Química,23,jose.farre@utec.edu.pe,Alumno
201820272,María Quevedo Ramirez,Ingeniería Química,22,maria.quevedo@utec.edu.pe,Alumno
201910259,Francisco Jose Ferrán Cabañas,Ingeniería Química,25,francisco.ferran@utec.edu.pe,Alumno
201820285,Griselda Zaragoza Valle,Ingeniería Química,27,griselda.zaragoza@utec.edu.pe,Alumno
201810262,Natanael Águila Rodríguez,Ingeniería Química,22,natanael.aguila@utec.edu.pe,Alumno
201810288,Calixta Daniela Hervás Alemán,Ingeniería Química,24,calixta.hervas@utec.edu.pe,Alumno
201810280,Francisco Jose Ramis Ibáñez,Ingeniería Química,23,francisco.ramis@utec.edu.pe,Alumno
201820263,Rosaura Puig Nicolau,Ingeniería Química,25,rosaura.puig@utec.edu.pe,Alumno
201810268,Goyo Samu Jódar Ávila,Ingeniería Química,22,goyo.jodar@utec.edu.pe,Alumno
201910264,Chus Santamaria Palomino,Ingeniería Química,23,chus.santamaria@utec.edu.pe,Alumno
201920266,Fulgencio Tormo Alberdi,Ingeniería Química,27,fulgencio.tormo@utec.edu.pe,Alumno
201920254,Aitor Manuel Giner,Ingeniería Química,27,aitor.manuel@utec.edu.pe,Alumno
201920297,Hilda Álvarez Romeu,Ingeniería Química,24,hilda.alvarez@utec.edu.pe,Alumno
201920275,Jose Ignacio Rafa Sanmartín Amorós,Ingeniería Química,22,jose.sanmartin@utec.edu.pe,Alumno
201910267,Aureliano Pujadas Porcel,Ingeniería Química,23,aureliano.pujadas@utec.edu.pe,Alumno
201810279,Albert Ortega Tena,Ingeniería Química,27,albert.ortega@utec.edu.pe,Alumno
201810256,Olegario Nogueira Valenciano,Ingeniería Química,25,olegario.nogueira@utec.edu.pe,Alumno
201820261,Ramona Román Toro,Ingeniería Química,25,ramona.roman@utec.edu.pe,Alumno
201920286,Fátima Montero Sevilla,Ingeniería Química,24,fatima.montero@utec.edu.pe,Alumno
201910258,Salud María Fernanda Ruano Coello,Ingeniería Química,24,salud.ruano@utec.edu.pe,Alumno
201910278,Vasco Arnal Porras,Ingeniería Química,26,vasco.arnal@utec.edu.pe,Alumno
201920274,Calixta Manzano Vilanova,Ingeniería Química,25,calixta.manzano@utec.edu.pe,Alumno
201910265,Chita Hilda Donaire Sureda,Ingeniería Química,26,chita.donaire@utec.edu.pe,Alumno
201920299,Venceslás Llamas Pi,Ingeniería Química,22,venceslas.llamas@utec.edu.pe,Alumno
201910269,Abril Julián Gallart,Ingeniería Química,27,abril.julian@utec.edu.pe,Alumno
201910289,Jenny Fuente Pla,Ingeniería Química,26,jenny.fuente@utec.edu.pe,Alumno
201920346,Martina Nilda Roca Yáñez,Ingeniería Química,25,martina.roca@utec.edu.pe,Alumno
201910315,Buenaventura Fabregat Morcillo,Ingeniería Química,21,buenaventura.fabregat@utec.edu.pe,Alumno
201920300,Wilfredo Heraclio Caballero Coloma,Ingeniería Química,23,wilfredo.caballero@utec.edu.pe,Alumno
201910334,Jesusa Visitación Montaña Corominas,Ingeniería Química,22,jesusa.montana@utec.edu.pe,Alumno
201910345,Ana Sofía Cabello Pedrero,Ingeniería Química,23,ana.cabello@utec.edu.pe,Alumno
202020320,Sarita Gisbert Cobos,Ingeniería Química,24,sarita.gisbert@utec.edu.pe,Alumno
201920342,Arcelia Yolanda Rubio Arnau,Ingeniería Química,21,arcelia.rubio@utec.edu.pe,Alumno
201910318,Jose Manuel Palomares,Ingeniería Química,23,jose.manuel@utec.edu.pe,Alumno
202010347,Sofía Morillo Fiol,Ingeniería Química,23,sofia.morillo@utec.edu.pe,Alumno
201920336,Benjamín Santamaria Mayoral,Ingeniería Química,25,benjamin.santamaria@utec.edu.pe,Alumno
202020310,Alonso Robles Arroyo,Ingeniería Química,25,alonso.robles@utec.edu.pe,Alumno
202020326,Ignacia Torrent Maldonado,Ingeniería Química,25,ignacia.torrent@utec.edu.pe,Alumno
201910327,María Manuela Mariscal Barragán,Ingeniería Química,24,maria.mariscal@utec.edu.pe,Alumno
201920343,Genoveva Trujillo Lluch,Ingeniería Química,22,genoveva.trujillo@utec.edu.pe,Alumno
201910305,Julio César Azorin-Leal,Ingeniería Química,24,julio.cesar@utec.edu.pe,Alumno
201910330,Berto Palma Barranco,Ingeniería Química,21,berto.palma@utec.edu.pe,Alumno
202020331,Florentina Iriarte Cañas,Ingeniería Química,21,florentina.iriarte@utec.edu.pe,Alumno
201910329,Guillermo Ros Conde,Ingeniería Química,24,guillermo.ros@utec.edu.pe,Alumno
201910325,Trinidad Mateu Rovira,Ingeniería Química,25,trinidad.mateu@utec.edu.pe,Alumno
201920311,Albert Ferrero Fabra,Ingeniería Química,22,albert.ferrero@utec.edu.pe,Alumno
201920308,Tiburcio Quintana Boada,Ingeniería Química,25,tiburcio.quintana@utec.edu.pe,Alumno
201920307,Jesús Olivares Contreras,Ingeniería Química,21,jesus.olivares@utec.edu.pe,Alumno
201910304,Fabio Godoy Blázquez,Ingeniería Química,21,fabio.godoy@utec.edu.pe,Alumno
202010338,Valeria Sáenz Patiño,Ingeniería Química,23,valeria.saenz@utec.edu.pe,Alumno
201920322,Eustaquio Mendizábal Ordóñez,Ingeniería Química,24,eustaquio.mendizabal@utec.edu.pe,Alumno
202010337,Nazario Benitez Cerezo,Ingeniería Química,24,nazario.benitez@utec.edu.pe,Alumno
202020348,Febe Agustín Paredes,Ingeniería Química,21,febe.agustin@utec.edu.pe,Alumno
201920314,Florentino Agudo Atienza,Ingeniería Química,25,florentino.agudo@utec.edu.pe,Alumno
202020339,Angelino Isaías Macias Ruiz,Ingeniería Química,24,angelino.macias@utec.edu.pe,Alumno
201920306,Catalina Abellán Rodrigo,Ingeniería Química,21,catalina.abellan@utec.edu.pe,Alumno
202010309,Santos Andrés Felipe Gil Arias,Ingeniería Química,24,santos.gil@utec.edu.pe,Alumno
201910302,María Carmen Carpio Belmonte,Ingeniería Química,25,maria.carpio@utec.edu.pe,Alumno
201910319,Nayara Rosado Castañeda,Ingeniería Química,23,nayara.rosado@utec.edu.pe,Alumno
201920333,Luís Varela Vila,Ingeniería Química,22,luis.varela@utec.edu.pe,Alumno
202020316,Eladio Jáuregui Águila,Ingeniería Química,22,eladio.jauregui@utec.edu.pe,Alumno
201910341,Samuel Torrecilla Ojeda,Ingeniería Química,23,samuel.torrecilla@utec.edu.pe,Alumno
202020328,Vidal Ballesteros Navarrete,Ingeniería Química,22,vidal.ballesteros@utec.edu.pe,Alumno
202020303,Candelas Soriano Peralta,Ingeniería Química,24,candelas.soriano@utec.edu.pe,Alumno
202020344,Jordi Espada Diego,Ingeniería Química,21,jordi.espada@utec.edu.pe,Alumno
201910323,Cristian Cabrero Porras,Ingeniería Química,21,cristian.cabrero@utec.edu.pe,Alumno
201920317,Dionisio Lucas Quero,Ingeniería Química,25,dionisio.lucas@utec.edu.pe,Alumno
201920335,Teresa Yuste Roma,Ingeniería Química,23,teresa.yuste@utec.edu.pe,Alumno
202020321,Susana Elías Toro,Ingeniería Química,22,susana.elias@utec.edu.pe,Alumno
202010301,Rebeca Maza Lobato,Ingeniería Química,22,rebeca.maza@utec.edu.pe,Alumno
201920349,Luis Ángel Porras Almazán,Ingeniería Química,25,luis.porras@utec.edu.pe,Alumno
202020312,Laura Navarro Alberola,Ingeniería Química,22,laura.navarro@utec.edu.pe,Alumno
202010340,Fabio Fajardo Castilla,Ingeniería Química,24,fabio.fajardo@utec.edu.pe,Alumno
202010313,Marita Cordero Franch,Ingeniería Química,22,marita.cordero@utec.edu.pe,Alumno
202020332,Alberto Priego Cañete,Ingeniería Química,24,alberto.priego@utec.edu.pe,Alumno
202010354,Amílcar Villar Cobo,Ingeniería Química,20,amilcar.villar@utec.edu.pe,Alumno
202020368,Maricela Salom Alvarado,Ingeniería Química,20,maricela.salom@utec.edu.pe,Alumno
201920371,Delia Capdevila Boada,Ingeniería Química,23,delia.capdevila@utec.edu.pe,Alumno
201910370,Toni Díaz Guardia,Ingeniería Química,23,toni.diaz@utec.edu.pe,Alumno
202010376,Desiderio Ibarra Tejada,Ingeniería Química,21,desiderio.ibarra@utec.edu.pe,Alumno
201920360,Chus Clemente Piñol,Ingeniería Química,23,chus.clemente@utec.edu.pe,Alumno
202010355,Herminia Exposito Piñeiro,Ingeniería Química,20,herminia.exposito@utec.edu.pe,Alumno
202020382,Inocencio Fuente Carrasco,Ingeniería Química,23,inocencio.fuente@utec.edu.pe,Alumno
201910392,Galo Rincón Asensio,Ingeniería Química,24,galo.rincon@utec.edu.pe,Alumno
202010385,Donato Godoy Vega,Ingeniería Química,21,donato.godoy@utec.edu.pe,Alumno
201920387,Nacho Garmendia Mayol,Ingeniería Química,23,nacho.garmendia@utec.edu.pe,Alumno
202020394,Iván Amo Sancho,Ingeniería Química,22,ivan.amo@utec.edu.pe,Alumno
201920384,Adán Vizcaíno Estrada,Ingeniería Química,20,adan.vizcaino@utec.edu.pe,Alumno
201920362,Alcides Marin Toro,Ingeniería Química,21,alcides.marin@utec.edu.pe,Alumno
202020388,Anselmo Gracia Español,Ingeniería Química,20,anselmo.gracia@utec.edu.pe,Alumno
201920393,Mariana Sanmiguel Murillo,Ingeniería Química,21,mariana.sanmiguel@utec.edu.pe,Alumno
201920359,Macario Saldaña Lamas,Ingeniería Química,24,macario.saldana@utec.edu.pe,Alumno
202020374,Epifanio Ríos Barceló,Ingeniería Química,20,epifanio.rios@utec.edu.pe,Alumno
201920379,Blanca Bustos Pera,Ingeniería Química,20,blanca.bustos@utec.edu.pe,Alumno
201920352,José Antonio Cantón,Ingeniería Química,25,jose.antonio@utec.edu.pe,Alumno
202010395,Loida Fajardo Olmedo,Ingeniería Química,22,loida.fajardo@utec.edu.pe,Alumno
202020390,Fortunata Prieto Casado,Ingeniería Química,24,fortunata.prieto@utec.edu.pe,Alumno
202020353,Delfina Campo Rivas,Ingeniería Química,21,delfina.campo@utec.edu.pe,Alumno
201920365,Juanito Aureliano Juliá Pou,Ingeniería Química,21,juanito.julia@utec.edu.pe,Alumno
201920372,Carlota Pastor Sevillano,Ingeniería Química,24,carlota.pastor@utec.edu.pe,Alumno
201920386,Fortunata Amalia Castells Francisco,Ingeniería Química,20,fortunata.castells@utec.edu.pe,Alumno
201910378,Herberto Téllez Nogués,Ingeniería Química,21,herberto.tellez@utec.edu.pe,Alumno
201910367,Piedad Somoza Jove,Ingeniería Química,24,piedad.somoza@utec.edu.pe,Alumno
202010350,Montserrat Ibáñez Herrera,Ingeniería Química,20,montserrat.ibanez@utec.edu.pe,Alumno
201910369,Xavier Priego Gascón,Ingeniería Química,20,xavier.priego@utec.edu.pe,Alumno
202020358,Isabel Mariscal Herrero,Ingeniería Química,20,isabel.mariscal@utec.edu.pe,Alumno
201910373,Goyo Ferrán Alcalde,Ingeniería Química,20,goyo.ferran@utec.edu.pe,Alumno
201910356,Mónica Calatayud Mariño,Ingeniería Química,24,monica.calatayud@utec.edu.pe,Alumno
201910366,América Bou Galan,Ingeniería Química,22,america.bou@utec.edu.pe,Alumno
202020380,Marcial Bartolomé Perales,Ingeniería Química,21,marcial.bartolome@utec.edu.pe,Alumno
202020398,Eliana Lopez Castellanos,Ingeniería Química,24,eliana.lopez@utec.edu.pe,Alumno
202010351,Isaac Aragón Falcó,Ingeniería Química,25,isaac.aragon@utec.edu.pe,Alumno
201920391,Pelayo Solís Pol,Ingeniería Química,20,pelayo.solis@utec.edu.pe,Alumno
201910363,Aránzazu Mate Mayo,Ingeniería Química,23,aranzazu.mate@utec.edu.pe,Alumno
201910377,Olivia Ramos Barón,Ingeniería Química,22,olivia.ramos@utec.edu.pe,Alumno
202020399,Ángeles Azucena Noguera Vidal,Ingeniería Química,23,angeles.noguera@utec.edu.pe,Alumno
202010397,Saturnina Luna Beltran,Ingeniería Química,21,saturnina.luna@utec.edu.pe,Alumno
201910357,Rosa María Quero,Ingeniería Química,24,rosa.maria@utec.edu.pe,Alumno
201920364,Berto Chuy Iglesia García,Ingeniería Química,23,berto.iglesia@utec.edu.pe,Alumno
202120429,Rosenda Agustín Leon,Ingeniería Química,22,rosenda.agustin@utec.edu.pe,Alumno
202010408,Anacleto Guerra Garay,Ingeniería Química,20,anacleto.guerra@utec.edu.pe,Alumno
202110407,Marcelo Talavera Cobo,Ingeniería Química,19,marcelo.talavera@utec.edu.pe,Alumno
201910410,Aránzazu Bernal Sales,Ingeniería Química,19,aranzazu.bernal@utec.edu.pe,Alumno
202120441,Irma Simó Suarez,Ingeniería Química,19,irma.simo@utec.edu.pe,Alumno
201910431,Paz Pagès Sierra,Ingeniería Química,24,paz.pages@utec.edu.pe,Alumno
202020437,Gastón Arévalo Lumbreras,Ingeniería Química,20,gaston.arevalo@utec.edu.pe,Alumno
201920426,Cornelio Mas Cuéllar,Ingeniería Química,24,cornelio.mas@utec.edu.pe,Alumno
201920446,Isabel Tamayo Canet,Ingeniería Química,24,isabel.tamayo@utec.edu.pe,Alumno
202120424,Joaquín Roque Pozo Cadenas,Ingeniería Química,20,joaquin.pozo@utec.edu.pe,Alumno
202010419,Elisa Febe Campillo Zorrilla,Ingeniería Química,22,elisa.campillo@utec.edu.pe,Alumno
201910416,Lino Sandoval Soriano,Ingeniería Química,24,lino.sandoval@utec.edu.pe,Alumno
202020443,Eloísa Garriga Ángel,Ingeniería Química,21,eloisa.garriga@utec.edu.pe,Alumno
202010425,Carlito Iñiguez Iglesias,Ingeniería Química,21,carlito.iniguez@utec.edu.pe,Alumno
202110432,Leticia Torralba Barral,Ingeniería Química,19,leticia.torralba@utec.edu.pe,Alumno
201910415,Dionisio Juárez Aparicio,Ingeniería Química,24,dionisio.juarez@utec.edu.pe,Alumno
202120414,Custodia Lola Garcés Aguilar,Ingeniería Química,24,custodia.garces@utec.edu.pe,Alumno
202120423,Juan José Gil Cerdá,Ingeniería Química,20,juan.gil@utec.edu.pe,Alumno
202010440,Sofía Arcos Gual,Ingeniería Química,20,sofia.arcos@utec.edu.pe,Alumno
202110418,Manolo Segovia Aramburu,Ingeniería Química,23,manolo.segovia@utec.edu.pe,Alumno
202010422,Encarnita Barrera Pablo,Ingeniería Química,22,encarnita.barrera@utec.edu.pe,Alumno
201910444,Calista Caballero Calderon,Ingeniería Química,19,calista.caballero@utec.edu.pe,Alumno
201920401,Ámbar Guardia Parejo,Ingeniería Química,19,ambar.guardia@utec.edu.pe,Alumno
201910436,Eliseo Gárate Rey,Ingeniería Química,22,eliseo.garate@utec.edu.pe,Alumno
201920412,Trinidad Suárez Bárcena,Ingeniería Química,22,trinidad.suarez@utec.edu.pe,Alumno
202010417,Eugenio Barreda Valverde,Ingeniería Química,20,eugenio.barreda@utec.edu.pe,Alumno
202120430,Reyna Maristela Terrón Quesada,Ingeniería Química,22,reyna.terron@utec.edu.pe,Alumno
201910449,Alba Tania Benavides Palacios,Ingeniería Química,24,alba.benavides@utec.edu.pe,Alumno
202010409,Luis Camino Llabrés,Ingeniería Química,24,luis.camino@utec.edu.pe,Alumno
202110445,Paula Enríquez Salas,Ingeniería Química,19,paula.enriquez@utec.edu.pe,Alumno
201910413,Pánfilo Andrés Dávila,Ingeniería Química,19,panfilo.andres@utec.edu.pe,Alumno
201910447,Clara Enríquez Gómez,Ingeniería Química,22,clara.enriquez@utec.edu.pe,Alumno
202110400,Celia Barreda Beltrán,Ingeniería Química,21,celia.barreda@utec.edu.pe,Alumno
202010411,Clementina Malo Nadal,Ingeniería Química,21,clementina.malo@utec.edu.pe,Alumno
202010421,Ildefonso Lumbreras Mateo,Ingeniería Química,21,ildefonso.lumbreras@utec.edu.pe,Alumno
202120428,Priscila Torres Moll,Ingeniería Química,19,priscila.torres@utec.edu.pe,Alumno
202120442,Vera Ignacia Larrea Tirado,Ingeniería Química,21,vera.larrea@utec.edu.pe,Alumno
202020439,Fulgencio Catalán Bayo,Ingeniería Química,20,fulgencio.catalan@utec.edu.pe,Alumno
202110406,Melisa Roldán Expósito,Ingeniería Química,22,melisa.roldan@utec.edu.pe,Alumno
202020438,Victoriano Torrent Acosta,Ingeniería Química,22,victoriano.torrent@utec.edu.pe,Alumno
201920402,Genoveva Castrillo Alfonso,Ingeniería Química,19,genoveva.castrillo@utec.edu.pe,Alumno
201920405,Toni Puerta Bou,Ingeniería Química,24,toni.puerta@utec.edu.pe,Alumno
202110420,Pascual Ayala Guardiola,Ingeniería Química,19,pascual.ayala@utec.edu.pe,Alumno
201920448,Martirio Marin Cano,Ingeniería Química,19,martirio.marin@utec.edu.pe,Alumno
201910403,Virgilio Antúnez Coello,Ingeniería Química,20,virgilio.antunez@utec.edu.pe,Alumno
202110433,Desiderio Riquelme Pombo,Ingeniería Química,24,desiderio.riquelme@utec.edu.pe,Alumno
202010427,Gabriel Gámez Fonseca,Ingeniería Química,21,gabriel.gamez@utec.edu.pe,Alumno
202010404,Guadalupe Ibarra Guillen,Ingeniería Química,23,guadalupe.ibarra@utec.edu.pe,Alumno
202110411,Guiomar Acero Tormo,Ingeniería Química,18,guiomar.acero@utec.edu.pe,Alumno
202110417,Jose Ramón Perez Luz,Ingeniería Química,18,jose.perez@utec.edu.pe,Alumno
202110428,Pepita Marti Porcel,Ingeniería Química,22,pepita.marti@utec.edu.pe,Alumno
202120438,Leonardo Palmer Soriano,Ingeniería Química,20,leonardo.palmer@utec.edu.pe,Alumno
202110416,Norberto Dan Fortuny Pinilla,Ingeniería Química,22,norberto.fortuny@utec.edu.pe,Alumno
202110427,Carmelita Clementina Palomino Mendez,Ingeniería Química,23,carmelita.palomino@utec.edu.pe,Alumno
